region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,etapa_vida,tipo_hogar,indice_experiencia,nivel_economico,categoria_empleo,nivel_establecimiento,estado_residencial,segmento_senior,categoria_valor,antiguedad_servicio,etapa_vida_v2,estructura_familiar,situacion_laboral,indice_valor_unificado,indice_fidelizacion,potencial_crecimiento,estabilidad_familiar,score_cliente,categoria_cliente_refinada,etapa_vida_final,indice_economico_v2,indice_estabilidad_v2,indice_potencial_v2,nivel_estabilidad,nivel_potencial,score_cliente_v2,segmento_final,valor_actual,valor_potencial,perfil_cliente_v2,estructura_familiar_v3,indice_economico_v3,indice_estabilidad_v3,indice_potencial_v3,score_cliente_v3,nivel_economico_v3,nivel_estabilidad_v3,nivel_potencial_v3,valor_actual_v3,valor_potencial_v3,categoria_valor_v3,segmento_final_v3,perfil_cliente_v3,estructura_familiar_v4,income_norm,ed_norm,employ_norm,tenure_norm,address_norm,age_norm,indice_economico_v4,indice_estabilidad_v4,indice_potencial_v4,score_cliente_v4,nivel_economico_v4,nivel_estabilidad_v4,nivel_potencial_v4,valor_actual_v4,valor_potencial_v4,categoria_valor_v4,segmento_v4,perfil_cliente_v4,estructura_familiar_final,income_norm_final,ed_norm_final,employ_norm_final,tenure_norm_final,address_norm_final,age_norm_final,indice_economico_final,indice_estabilidad_final,indice_potencial_final,score_cliente_final,nivel_economico_final,nivel_estabilidad_final,nivel_potencial_final,valor_actual_final,valor_potencial_final,categoria_valor_final,perfil_cliente_final
2,13,44,1,9,64.0,4,5,0.0,0,2,1,Media_Carrera,Pareja,0.1923076923076923,Premium,En_Desarrollo,En_Crecimiento,Establecido,Regular,Alto_Valor,Nuevo,Adulto,Individual,Experiencia_Inicial,Medio,Medio,Alto,Estable,0.240152686361549,Estándar,Adulto_Joven,0.343021582733813,0.1589533634214485,0.3876242339461764,Básico,Establecido,0.2783148252513399,Valor,11.555555555555555,88.80795097255529,Alto_Valor,Individual,0.2482067510548523,0.1543367750020432,0.3767307692307693,0.2539094648891442,Premium,Transitorio,Alto,9.244444444444444,12.727111111111114,Valor,Valor,Alto_Valor,Individual,0.0331525015069318,0.75,0.1063829787234042,0.1690140845070422,0.1636363636363636,0.4406779661016949,0.3198915009041592,0.1543367750020432,0.363878312993723,0.2624669729612255,Premium,Transitorio,Alto,0.0098056694597967,0.0133737399206016,Valor,Valor,Valor,Individual,0.3548387096774194,0.75,0.13157894736842105,0.16901408450704225,0.2222222222222222,0.4406779661016949,0.47338709677419355,0.18281031216539,0.6818009664359411,0.4342093830596366,Alto_Valor,En_Proceso,Medio,0.725920036347115,1.2208530186837914,Alto_Valor,Valor
3,11,33,1,7,136.0,5,5,0.0,0,6,4,Inicial_Carrera,Familia,0.3333333333333333,Premium,En_Desarrollo,En_Crecimiento,Establecido,Regular,Premium,Nuevo,Adulto_Joven,Mediana,Experiencia_Inicial,Medio,Medio,Muy_Alto,Arraigado,0.2890855400785755,Plus,Adulto_Joven,0.4489208633093525,0.1332967977648828,0.5439448441247002,Básico,Premium,0.3416760332546342,Premium,20.77777777777778,209.9764988009592,Alto_Potencial,Extendida,0.3535864978902953,0.1285237148227858,0.4983333333333333,0.3182385744495783,Premium,Transitorio,Superior,20.77777777777778,31.132037037037037,Alto_Valor,Preferente,Alto_Potencial,Mediana,0.076552139843279,1.0,0.1063829787234042,0.1408450704225352,0.1272727272727272,0.2542372881355932,0.4459312839059675,0.1285237148227858,0.5465047679061033,0.339082953072722,Premium,Transitorio,Superior,0.0215639830544448,0.0333488026087453,Alto_Valor,Alto_Valor,Alto_Potencial,Extendida,0.8193548387096774,1.0,0.13157894736842105,0.14084507042253522,0.1728395061728395,0.2542372881355932,0.8735483870967742,0.15178962011183408,1.7926270514997173,0.8966564179729282,Premium,Nuevo,Superior,1.8695138573375738,5.220854971154492,Premium,Elite
3,68,52,1,24,116.0,1,29,0.0,1,2,3,Avanzada_Carrera,Pareja,0.8529411764705882,Básico,Experimentado,Maduro,Establecido,Regular,Premium,Leal,Senior,Individual,Experiencia_Alta,Alto,Premium,Medio,Arraigado,0.4128532067962651,VIP,Adulto_Maduro,0.1217266187050359,0.6757274876423813,0.2984774488101827,Premium,Emergente,0.3786771323010034,Premium,109.55555555555556,150.6233840619812,Premium_Plus,Individual,0.0451476793248945,0.6754144985969979,0.2969117647058824,0.341270291684427,Básico,Arraigado,Moderado,21.91111111111111,28.416777777777774,Alto_Valor,Preferente,Regular,Individual,0.0644966847498493,0.0,0.6170212765957447,0.943661971830986,0.4363636363636363,0.576271186440678,0.0386980108499095,0.6754144985969979,0.2206258853114343,0.3297701808410498,Básico,Arraigado,Moderado,0.0608630687076042,0.0742910371239901,Premium,Alto_Valor,Elite,Individual,0.6903225806451613,0.0,0.7631578947368421,0.9436619718309859,0.5925925925925926,0.576271186440678,0.48322580645161284,0.7671334047167999,0.7440257665035453,0.660833453860008,Alto_Valor,Arraigado,Alto,1.341753748296229,2.3400531093313357,Alto_Valor,Alto_Potencial
2,33,33,0,12,33.0,2,0,0.0,1,1,1,Inicial_Carrera,Individual,0.0,Emergente,Nuevo/Estudiante,En_Crecimiento,Establecido,Regular,Crecimiento,Reciente,Adulto_Joven,Individual,Sin_Experiencia,Medio,Alto,Medio,Estable,0.2254136690647482,Estándar,Adulto_Joven,0.1718705035971223,0.2706060606060606,0.1904956035171862,Emergente,Básico,0.2150897463847104,Básico,15.125,39.28635491606715,Regular,Individual,0.085126582278481,0.2675544174135723,0.1763888888888889,0.1763550165588853,Emergente,Estable,Básico,6.050000000000001,7.117152777777779,Emergente,Base,Regular,Individual,0.0144665461121157,0.25,0.0,0.4507042253521127,0.2181818181818181,0.2542372881355932,0.1086799276672694,0.2675544174135723,0.1163354300596139,0.1737608240442595,Emergente,Estable,Básico,0.0081501668237271,0.009098319986223,Emergente,Emergente,En_Desarrollo,Individual,0.15483870967741936,0.25,0.0,0.4507042253521127,0.2962962962962963,0.2542372881355932,0.18338709677419354,0.29880020865936363,0.3436129032258065,0.27184942786948696,Emergente,Estable,Básico,0.2807814629713767,0.37726159663496067,Emergente,Regular
2,23,30,1,9,30.0,1,2,0.0,0,4,3,Inicial_Carrera,Familia,0.1666666666666666,Básico,Principiante,En_Crecimiento,Establecido,Regular,Básico,Reciente,Joven,Pequeña,Experiencia_Inicial,Muy_Bajo,Medio,Bajo,Arraigado,0.147282897086586,Básico,Joven,0.0907913669064748,0.2017429615301955,0.1353262774395868,Emergente,Básico,0.1440789868625855,Básico,9.583333333333332,34.059788323187604,Regular,Mediana,0.0088607594936708,0.1979088457242488,0.1414583333333333,0.1148068618262718,Básico,Estable,Básico,1.9166666666666663,2.1877951388888888,Básico,Base,Regular,Pequeña,0.0126582278481012,0.0,0.0425531914893617,0.3098591549295774,0.1636363636363636,0.2033898305084746,0.0075949367088607,0.1979088457242488,0.0447408847368524,0.0911496899206143,Básico,Estable,Básico,0.0039222677839187,0.004097753514746,Emergente,Básico,Regular,Familiar,0.13548387096774195,0.0,0.05263157894736842,0.30985915492957744,0.2222222222222222,0.2033898305084746,0.09483870967741936,0.22335886665019358,0.3182059988681381,0.20683095137510593,Básico,En_Proceso,Básico,0.17746478873239438,0.23393514909490903,Básico,Regular
2,41,39,0,17,78.0,2,16,0.0,1,1,3,Media_Carrera,Individual,0.7619047619047619,Emergente,Establecido,Maduro,Establecido,Regular,Alto_Valor,Establecido,Adulto_Joven,Individual,Experiencia_Alta,Alto,Premium,Alto,Establecido,0.3035809224960457,Plus,Adulto_Joven,0.1880575539568345,0.4194992477971201,0.3355600414773077,Establecido,Establecido,0.3101347289970434,Alto_Valor,44.416666666666664,104.17368323523,Regular,Individual,0.1041139240506329,0.4170735826953987,0.3590079365079365,0.290118008313492,Emergente,Consolidado,Alto,17.766666666666666,24.14504100529101,Alto_Valor,Preferente,Alto_Potencial,Individual,0.0415913200723327,0.25,0.3404255319148936,0.5633802816901409,0.3090909090909091,0.3559322033898305,0.1249547920433996,0.4170735826953987,0.2858206851413679,0.273975486923793,Emergente,Consolidado,Alto,0.0292896620227695,0.0376612532896766,Alto_Valor,Valor,Valor,Individual,0.44516129032258067,0.25,0.42105263157894735,0.5633802816901409,0.41975308641975306,0.3559322033898305,0.38661290322580644,0.47746387355974707,0.8368679763925944,0.553487264792722,Alto_Valor,Consolidado,Alto,0.8699454793275785,1.5979749921843347,Alto_Valor,Alto_Potencial
3,45,22,1,2,19.0,2,4,0.0,1,5,2,Joven,Familia,1.0,Básico,En_Desarrollo,En_Crecimiento,Establecido,Regular,Básico,Establecido,Joven,Mediana,Experiencia_Inicial,Muy_Bajo,Medio,Medio,Establecido,0.2805669932139395,Plus,Joven,0.1668345323741007,0.2815667311411992,0.2711900479616307,Emergente,Emergente,0.2335985149984461,Valor,11.875,24.152610911270983,Regular,Extendida,0.0792194092827004,0.2794540550848612,0.4672916666666667,0.2657232125286466,Básico,Estable,Superior,4.75,6.969635416666667,Emergente,Valor,Alto_Valor,Mediana,0.0060277275467148,0.25,0.0851063829787234,0.6197183098591549,0.0363636363636363,0.0677966101694915,0.1036166365280289,0.2794540550848612,0.2158090595203442,0.1963900885492249,Básico,Estable,Moderado,0.004669366409427,0.0056770579828013,Emergente,Emergente,En_Desarrollo,Extendida,0.06451612903225806,0.25,0.10526315789473684,0.6197183098591549,0.04938271604938271,0.06779661016949153,0.12016129032258063,0.28869304194236245,0.7911714770797962,0.3804504594166689,Básico,Estable,Alto,0.13062244434348025,0.23396719657448498,Básico,Valor
2,38,35,0,5,76.0,2,10,0.0,0,3,4,Inicial_Carrera,Compartido,0.5882352941176471,Emergente,Establecido,Establecido,Establecido,Regular,Alto_Valor,Establecido,Adulto_Joven,Pequeña,Experiencia_Media,Medio,Medio,Alto,Establecido,0.2778353487422828,Plus,Adulto_Joven,0.1873381294964029,0.2900279389641092,0.30335931254996,Emergente,Emergente,0.2516182898941969,Alto_Valor,40.111111111111114,99.05530775379697,Regular,Pequeña,0.1032700421940928,0.2873675320783502,0.3190686274509804,0.2324437392306491,Emergente,Estable,Moderado,16.044444444444448,21.16372331154685,Alto_Valor,Emergente,En_Desarrollo,Pequeña,0.0403857745629897,0.25,0.2127659574468085,0.5211267605633803,0.0909090909090909,0.288135593220339,0.1242314647377938,0.2873675320783502,0.2512551343912182,0.2148906256047012,Emergente,Estable,Moderado,0.0263076348385672,0.0329175631654465,Alto_Valor,Emergente,En_Desarrollo,Familiar,0.432258064516129,0.25,0.2631578947368421,0.5211267605633803,0.12345679012345678,0.288135593220339,0.3775806451612903,0.31046499922210324,0.8827384400279636,0.5056375075425767,Alto_Valor,Estable,Alto,0.82189913675602,1.547421098596359,Alto_Valor,Alto_Potencial
3,45,59,1,7,166.0,4,31,0.0,0,5,3,Avanzada_Carrera,Familia,0.7560975609756098,Premium,Experimentado,Maduro,Establecido,Regular,Premium,Establecido,Senior,Mediana,Experiencia_Alta,Alto,Alto,Muy_Alto,Establecido,0.4532656002857289,VIP,Adulto_Maduro,0.3797122302158274,0.4328239845261121,0.5338194529122465,Establecido,Premium,0.4317783764792251,Premium,103.75,254.61402918343293,Premium_Plus,Extendida,0.2912447257383966,0.4307113084697741,0.5118699186991871,0.4062455875826158,Premium,Consolidado,Superior,83.0,125.48520325203252,Premium,Premium,Elite,Mediana,0.0946353224834237,0.75,0.6595744680851063,0.6197183098591549,0.1272727272727272,0.6949152542372882,0.3567811934900542,0.4307113084697741,0.5135687064821548,0.4177107420803623,Premium,Consolidado,Superior,0.102632673679206,0.1553416031434409,Premium,Premium,Elite,Extendida,1.0,0.75,0.8157894736842105,0.6197183098591549,0.1728395061728395,0.6949152542372882,0.9249999999999999,0.4801810211496399,1.110397946084724,0.8249327412277911,Premium,Consolidado,Superior,2.834507042253521,5.981937840134517,Premium,Elite
1,68,41,1,21,72.0,1,22,0.0,0,3,2,Media_Carrera,Familia,0.9565217391304348,Básico,Experimentado,Maduro,Establecido,Regular,Alto_Valor,Leal,Adulto,Pequeña,Experiencia_Alta,Medio,Premium,Medio,Arraigado,0.3874080310219909,Premium,Adulto_Joven,0.1058992805755395,0.6241220717816462,0.2901955021348775,Premium,Emergente,0.3500476413698498,Alto_Valor,68.0,92.89407615371118,Fidelizado,Pequeña,0.0265822784810126,0.6238090827362629,0.3258333333333333,0.3253869764260464,Básico,Arraigado,Moderado,13.6,18.031333333333333,Valor,Preferente,Regular,Pequeña,0.0379746835443038,0.0,0.4680851063829787,0.943661971830986,0.3818181818181818,0.3898305084745763,0.0227848101265822,0.6238090827362629,0.2221317227323432,0.3030639016916067,Básico,Arraigado,Moderado,0.0358352647530754,0.0437954138472456,Alto_Valor,Alto_Valor,Valor,Familiar,0.4064516129032258,0.0,0.5789473684210527,0.9436619718309859,0.5185185185185185,0.3898305084745763,0.28451612903225804,0.7006616698240123,0.714079870081937,0.5590361906242757,Valor,Arraigado,Medio,0.7900045433893684,1.3541308850969886,Alto_Valor,Fidelizado
