region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,income_log,age_scaled,tenure_scaled,employ_scaled,retire_scaled
2,13,44,1,9,64.0,4,5,0.0,0,2,1,4.174387269895637,0.18450455890496673,-1.0551249950656614,-0.5941225969906069,-0.2220764357981978
3,11,33,1,7,136.0,5,5,0.0,0,6,4,4.919980925828125,-0.6918124307127499,-1.1488056303374061,-0.5941225969906069,-0.2220764357981978
3,68,52,1,24,116.0,1,29,0.0,1,2,3,4.762173934797756,0.8218260058996697,1.5210924749073196,1.7875280340056454,-0.2220764357981978
2,33,33,0,12,33.0,2,0,0.0,1,1,1,3.5263605246161616,-0.6918124307127499,-0.11831864234821379,-1.0902998117814928,-0.2220764357981978
2,23,30,1,9,30.0,1,2,0.0,0,4,3,3.4339872044851463,-0.9308079733357635,-0.5867218187069376,-0.8918289258651384,-0.2220764357981978
2,41,39,0,17,78.0,2,16,0.0,1,1,3,4.3694478524670215,-0.21382134546672266,0.25640389873876523,0.4974672755493422,-0.2220764357981978
3,45,22,1,2,19.0,2,4,0.0,1,5,2,2.995732273553991,-1.5681294203304665,0.44376516928225473,-0.693358039948784,-0.2220764357981978
2,38,35,0,5,76.0,2,10,0.0,0,3,4,4.343805421853684,-0.5324820689640741,0.11588294583114811,-0.09794538219972089,-0.2220764357981978
3,45,59,1,7,166.0,4,31,0.0,0,5,3,5.117993812416755,1.3794822720200348,0.44376516928225473,1.9859989199219998,-0.2220764357981978
1,68,41,1,21,72.0,1,22,0.0,0,3,2,4.290459441148391,-0.054490983718046906,1.5210924749073196,1.0928799332984054,-0.2220764357981978
2,5,33,0,10,125.0,4,5,0.0,1,1,1,4.836281906951478,-0.6918124307127499,-1.4298475361526404,-0.5941225969906069,-0.2220764357981978
3,7,35,0,14,80.0,2,15,0.0,1,1,3,4.394449154672439,-0.5324820689640741,-1.3361669008808956,0.39823183259116507,-0.2220764357981978
1,41,38,1,8,37.0,2,9,0.0,1,3,1,3.6375861597263857,-0.29348652634106054,0.25640389873876523,-0.1971808251578981,-0.2220764357981978
2,57,54,1,30,115.0,4,23,0.0,1,3,4,4.7535901911063645,0.9811563676483455,1.0058489809127233,1.1921153762565826,-0.2220764357981978
2,9,46,0,3,25.0,1,8,0.0,1,2,1,3.258096538021482,0.34383492065364246,-1.2424862656091509,-0.2964162681160753,-0.2220764357981978
1,29,38,1,12,75.0,5,1,0.0,0,4,2,4.330733340286331,-0.29348652634106054,-0.3056799128917033,-0.9910643688233156,-0.2220764357981978
3,60,57,0,38,162.0,2,30,0.0,0,1,3,5.093750200806762,1.2201519102713592,1.1463699338203404,1.8867634769638226,-0.2220764357981978
3,34,48,0,3,49.0,2,6,0.0,1,3,3,3.912023005428146,0.5031652824023182,-0.0714783247123414,-0.49488715403242967,-0.2220764357981978
2,1,24,0,3,20.0,1,3,0.0,0,1,1,3.044522437723423,-1.4087990585817909,-1.6172088066961299,-0.7925934829069612,-0.2220764357981978
1,26,29,1,3,77.0,4,2,0.0,0,4,4,4.356708826689592,-1.0104731542101013,-0.44620086579932045,-0.8918289258651384,-0.2220764357981978
3,6,30,0,7,16.0,3,1,0.0,1,1,2,2.833213344056216,-0.9308079733357635,-1.383007218516768,-0.9910643688233156,-0.2220764357981978
1,68,52,1,17,120.0,1,24,0.0,0,2,1,4.795790545596741,0.8218260058996697,1.5210924749073196,1.2913508192147598,-0.2220764357981978
3,53,33,0,10,101.0,5,4,0.0,1,2,4,4.624972813284271,-0.6918124307127499,0.8184877103692338,-0.693358039948784,-0.2220764357981978
3,55,48,1,19,67.0,1,25,0.0,0,3,1,4.219507705176107,0.5031652824023182,0.9121683456409786,1.390586262172937,-0.2220764357981978
3,14,43,1,18,36.0,1,5,0.0,0,5,3,3.6109179126442243,0.10483937803062884,-1.008284677429789,-0.5941225969906069,-0.2220764357981978
2,1,21,0,0,33.0,2,0,0.0,1,3,3,3.5263605246161616,-1.6477946012048044,-1.6172088066961299,-1.0902998117814928,-0.2220764357981978
2,42,40,0,7,37.0,2,8,0.0,1,1,4,3.6375861597263857,-0.13415616459238477,0.3032442163746376,-0.2964162681160753,-0.2220764357981978
3,25,33,1,11,31.0,1,5,0.0,0,4,3,3.4657359027997265,-0.6918124307127499,-0.4930411834351928,-0.5941225969906069,-0.2220764357981978
1,9,21,1,1,17.0,2,2,0.0,1,3,1,2.8903717578961645,-1.6477946012048044,-1.2424862656091509,-0.8918289258651384,-0.2220764357981978
2,13,33,1,9,19.0,4,0,0.0,1,2,2,2.995732273553991,-0.6918124307127499,-1.0551249950656614,-1.0902998117814928,-0.2220764357981978
1,56,37,1,6,36.0,1,13,0.0,1,2,2,3.6109179126442243,-0.3731517072153984,0.959008663276851,0.19976094667481067,-0.2220764357981978
1,71,53,1,27,155.0,5,12,0.0,0,2,4,5.049856007249537,0.9014911867740076,1.6616134278149366,0.10052550371663348,-0.2220764357981978
1,35,50,1,26,140.0,2,21,0.0,1,4,3,4.948759890378168,0.6624956441509939,-0.02463800707646903,0.9936444903402282,-0.2220764357981978
1,11,27,1,8,55.0,5,0,0.0,0,3,2,4.02535169073515,-1.1698035159587772,-1.1488056303374061,-1.0902998117814928,-0.2220764357981978
2,60,46,1,13,163.0,3,24,0.0,0,2,4,5.099866427824199,0.34383492065364246,1.1463699338203404,1.2913508192147598,-0.2220764357981978
3,20,35,1,11,52.0,4,0,0.0,0,2,2,3.970291913552122,-0.5324820689640741,-0.7272427716145548,-1.0902998117814928,-0.2220764357981978
2,54,60,0,38,211.0,4,25,0.0,0,1,4,5.356586274672012,1.4591474528943726,0.8653280280051062,1.390586262172937,-0.2220764357981978
1,44,57,1,1,186.0,2,17,0.0,0,2,3,5.231108616854587,1.2201519102713592,0.39692485164638236,0.5967027185075194,-0.2220764357981978
1,11,41,1,0,39.0,1,1,0.0,1,2,3,3.6888794541139363,-0.054490983718046906,-1.1488056303374061,-0.9910643688233156,-0.2220764357981978
